code,name,price,ram,camera,battery_capacity,screen_size,weight
A1,Apple iPhone 16 128GB,"13,337,707",6,48,"3,600",6.10,174
A2,Apple iPhone 16 256GB,"14,172,357",6,48,"3,600",6.10,174
A3,Apple iPhone 16 512GB,"15,007,007",6,48,"3,600",6.10,174
A4,Apple iPhone 16 Plus 128GB,"15,007,007",6,48,"4,200",6.70,203
A5,Apple iPhone 16 Plus 256GB,"15,841,657",6,48,"4,200",6.70,203
A6,Apple iPhone 16 Plus 512GB,"16,676,307",6,48,"4,200",6.70,203
A7,Apple iPhone 16 Pro 128GB,"16,676,307",6,50,"4,400",6.10,206
A8,Apple iPhone 16 Pro 256GB,"17,510,957",8,50,"4,400",6.10,206
A9,Apple iPhone 16 Pro 512GB,"18,345,607",8,50,"4,400",6.10,206
A10,Apple iPhone 16 Pro Max 128GB,"18,345,607",6,48,"4,500",6.70,221
A11,Apple iPhone 16 Pro Max 256GB,"20,014,907",8,48,"4,500",6.70,221
A12,Apple iPhone 16 Pro Max 512GB,"21,684,207",8,48,"4,500",6.70,221
A13,Samsung Galaxy S24 Ultra 128GB,"20,014,907",12,200,"5,000",6.80,234
A14,Samsung Galaxy S24 Ultra 256GB,"21,684,207",12,200,"5,000",6.80,234
A15,Samsung Galaxy S24+ 128GB,"15,007,007",8,50,"4,800",6.60,196
A16,Samsung Galaxy S24+ 256GB,"16,676,307",8,50,"4,800",6.60,196
A17,Samsung Galaxy S24 128GB,"13,337,707",8,50,"4,000",6.10,168
A18,Samsung Galaxy S24 256GB,"15,007,007",8,50,"4,000",6.10,168
A19,Vivo X200 128GB,"16,676,307",12,50,"6,000",6.78,223
A20,Vivo X200 256GB,"18,345,607",12,50,"6,000",6.78,223
A21,Vivo X200 Pro 256GB,"20,014,907",16,200,"6,000",6.78,223
A22,Vivo X200 Pro 512GB,"21,684,207",16,200,"6,000",6.78,223
A23,Vivo X200 Pro Mini 256GB,"15,841,657",16,50,"5,700",6.31,187
A24,Vivo V40e 128GB,"7,495,157",8,64,"4,100",6.44,179
A25,Vivo Y200 GT 128GB,"6,660,507",12,64,"5,000",6.58,190
A26,Vivo T3 5G 128GB,"5,825,857",8,50,"5,000",6.67,180
A27,Vivo Y100 5G 128GB,"4,991,207",8,64,"4,500",6.38,181
A28,Vivo S18 Pro 256GB,"9,999,107",12,108,"4,700",6.56,189
A29,Vivo V30 Pro 128GB,"9,164,457",12,64,"4,500",6.44,192
A30,Vivo iQOO 12 256GB,"11,668,407",16,50,"5,000",6.78,210
A31,Oppo A3 4G 128GB,"6,660,507",4,50,"5,000",6.70,186
A32,Oppo A3 5G 128GB,"6,800,507",4,50,"5,000",6.70,186
A33,Oppo A3  256 GB,"7,660,507",4,50,"5,000",6.70,186
A34,Oppo K12 Plus 256GB,"11,668,407",8,50,"6,400",6.70,192
A35,Oppo K12 Plus 512GB,"13,337,707",12,50,"6,400",6.70,192
A36,Oppo A40 128GB,"3,321,907",4,50,"5,100",6.67,186
A37,Oppo A40 256GB,"3,822,697",6,50,"5,100",6.67,186
A38,Huawei Pura 70,"16,676,307",12,50,"4,900",6.80,220
A39,Huawei Pura 70 Pro,"18,345,607",12,50,"5,050",6.80,220
A40,Huawei Pura 70 Pro+,"20,014,907",12,50,"5,050",6.80,220
A41,Huawei Pura 70 Ultra,"21,684,207",16,50,"5,200",6.80,226
A42,Huawei Mate 70,"15,007,007",12,50,"4,900",6.70,220
A43,Huawei Mate 70 Pro,"16,676,307",12,50,"5,000",6.80,220
A44,Huawei Mate 70 Pro+,"18,345,607",12,50,"5,000",6.80,220
A45,Huawei Mate XT 256GB,"43,385,107",12,50,"5,000",7.92,245
A46,Huawei Mate XT 512GB,"46,723,707",12,50,"5,000",7.92,245
A47,Samsung Galaxy Z Fold6 256GB,"31,700,007",12,50,"4,400",7.60,239
A48,Samsung Galaxy Z Fold6 512GB,"28,695,267",12,50,"4,400",7.60,239
A49,Samsung Galaxy Z Fold6 1TB,"37,709,487",12,50,"4,400",7.60,239
A50,Huawei Mate X6,"41,718,070",12,50,"4,800",7.93,241